always,sempre
and,e
animal,animale
animals,animali
ant,formica
apple,mela
apples,mele
art,arte
banana,banana
bananas,banane
bean,fagiolo
bear,orso
bee,ape
beef,manzo
beer,birra
belt,cintura
bird,uccello
birds,uccelli
book,libro
books,libri
bottle,bottiglia
bottles,bottiglie
bowl,ciotola
boy,ragazzo
boys,ragazzi
bread,pane
breakfast,colazione
bull,toro
butter,burro
butterfly,farfalla
butterflies,farfalle
cake,torta
cakes,torte
candies,caramalle
carrot,carota
cat,gatto
cats,gatti
cheese,formaggio
chicken,pollo
chickens,polli
chocolate,cioccolato
clothing,abbigliamento
coffee,caffe
cook,cuoco
cookie,biscotto
cookies,biscotti
cooks,cuochi
costume,costume
cow,mucca
cows,mucche
cream,crema
cup,tazza
dinner,cena
dog,cane
dogs,cani
dolphin,delfino
dress,vestito
drink,bevanda
glass,bicchiere
duck,anatra
egg,uovo
elephant,elefante
elephants,elefanti
fish,pesce,pesci
flavor,gusto
flies,mosche
fly,mosca
food,cibo
fork,forchetta
forks,forchette
fried,fritto
fruit,frutta
garlic,aglio
girl,ragazza
girls,ragazze
children,ragazzi
glasses,bicchieri
gloves,guanti
goodbye,ciao,arrivederci
good evening,buonasera
good morning,buongiorno
good night,buonanotte
grill,griglia
hat,cappello
hats,cappelli
he,lui
hello,ciao
honey,amore
horse,cavallo
horses,cavalli
house,casa
hunger,fame
i,io
ice,ghiaccio
ice cream,gelato
in,nello,nel
ingredient,ingrediente
insect,insetto
insects,insetti
jacket,giacca
jewelry,gioielleria
juice,succo
kitchen,cucina
knife,coltello
leather,cuoio
lemon,limone
lemonade,limonata
library,biblioteca
life,vita
like,come
lion,leone
long,lunga
love,amore
lunch,pranzo
man,uomo
marmalade,marmellata
meal,pasto
men,uomini
menu,menu
milk,latte
monkey,scimmia
mouse,topo
mule,mulo
mushrooms,funghi
newspaper,giornale
not,non
oil,olio
omelet,frittato
on,nello,nel
onion,cipolla
orange,arancia
out,fuori
over,sul
overcoat,cappotto
pants,pantaloni
pasta,pasta
penguin,pinguino
pepper,pepe
plate,piatto
plates,piatti
please,per favore
pocket,tasca
pockets,tasche
pork,maiale
potato,patata
purse,borsa
rare,raro
recipe,ricetta
restaurant,ristorante
rice,riso
salad,insalata
salt,sale
same,solita
sandal,sandalo
sandals,sandali
sandwich,panino
sandwiches,panini
shark,squalo
she,lei
shirt,camicia
shoe,scarpa
shoes,scarpe
short,breve
skirt,gonna
snake,serpente
sorry,spiacente
soup,zuppa
sour,acido
spider,ragno
spilled,versato
spoon,cucchiaio
steak,bistecca
stockings,calze
strawberry,fragola
stubborn,duro
sugar,zucchero
suit,abito
suits,abiti
sweater,maglia,maglione
sweet,dulce
tea,te
thanks,grazie
they,loro
tiger,tigre
time,tempo
tomato,pomodoro
turkey,tacchino
turtle,tartaruga
umbrella,ombrello
umbrellas,ombrelli
uniform,divisa
vegetables,verdura
vegetarian,vegetariano
waiter,cameriere
wallet,portafoglio
watch,orologio
water,acqua
we,noi
whale,balena
white,bianche
who,chi
wine,wino
wolf,lupo
woman,donna
women,donne
wool,lana
yes,si
you're welcome,prego
zoo,zoo
a,un,una
the,il,la,lo,i,gli
to,ai
my,mio,mia,miei
i hate fucking niggers,lol same
your,tuo,tua,tuoi,tue,vostro,vostra,vostri,vostre
how are you?,well
his,suo,suoi
hers,sua,sue
ours,nostro,nostra,nostri,nostre
their,loro
their own,propria
his own,proprio,propri
question,domanda
questions,domande
what,cosa
answer,riposta
when,quando
where,dove
which,quale
why,perche
how,quanta/e/i/o
how much,quanta/e/i/o
where is,dov'e
which is,qual e
what is,cos'e
candy,caramella
shirts,camicie
color,colore
colors,colori
colorful,colorata
red,rosse
orange,arancioni
yellow,gailla
green,verde
blue,azzurra
purple,viola
violet,viola
white,bianca,bianche
gray,grigio
grey,grigio
black,nero
brown,marrone
or,o,orrupe
and,e,edd
because,perche
if,se
but,ma
while,mentre
rather,bensi
but,bensi
that,che
both,sia...sia,sia...che
according to,secondo
